"70a3d70a-3d70-4400-8000-0000000000dc",seattle,seattle,"5c28f5c2-8f5c-4800-8000-000000000012","66666666-6666-4800-8000-000000000006","25887 Chambers Squares","66130 Noah Key Apt. 25",2018-12-31 03:04:05.000,2019-01-02 09:04:05.000,20.00
"7126e978-d4fd-4400-8000-0000000000dd",seattle,seattle,"66666666-6666-4800-8000-000000000014","55555555-5555-4400-8000-000000000005","45821 Manuel Tunnel","96349 David Wells",2018-12-05 03:04:05.000,2018-12-06 01:04:05.000,70.00
"71a9fbe7-6c8b-4400-8000-0000000000de",seattle,seattle,"70a3d70a-3d70-4400-8000-000000000016","66666666-6666-4800-8000-000000000006","59497 Marks Overpass Apt. 28","34325 Robert Trail Apt. 68",2018-12-11 03:04:05.000,2018-12-13 14:04:05.000,92.00
"39581062-4dd2-4200-8000-000000000070",washington dc,washington dc,"51eb851e-b851-4c00-8000-000000000010","44444444-4444-4400-8000-000000000004","44001 Curtis Lights Apt. 35","6246 Graham Forks Apt. 84",2018-12-22 03:04:05.000,2018-12-24 01:04:05.000,35.00
"39db22d0-e560-4200-8000-000000000071",washington dc,washington dc,"51eb851e-b851-4c00-8000-000000000010","44444444-4444-4400-8000-000000000004","10173 Stephanie Row Apt. 1","35552 Shawn Shore Apt. 6",2018-12-19 03:04:05.000,2018-12-19 06:04:05.000,24.00
"3a5e353f-7ced-4200-8000-000000000072",washington dc,washington dc,"3d70a3d7-0a3d-4000-8000-00000000000c","44444444-4444-4400-8000-000000000004","76003 Daniels Points Apt. 24","27393 Clark Causeway",2018-12-16 03:04:05.000,2018-12-18 13:04:05.000,65.00
"3ae147ae-147a-4200-8000-000000000073",washington dc,washington dc,"3d70a3d7-0a3d-4000-8000-00000000000c","44444444-4444-4400-8000-000000000004","22195 Johnson Prairie Suite 76","52370 Todd Canyon Apt. 64",2018-12-07 03:04:05.000,2018-12-08 09:04:05.000,48.00
"3b645a1c-ac08-4200-8000-000000000074",washington dc,washington dc,"3d70a3d7-0a3d-4000-8000-00000000000c","44444444-4444-4400-8000-000000000004","10063 Chambers Views Suite 10","66294 Elizabeth Drive",2018-12-05 03:04:05.000,2018-12-05 16:04:05.000,82.00
"3be76c8b-4395-4200-8000-000000000075",washington dc,washington dc,"428f5c28-f5c2-4000-8000-00000000000d","44444444-4444-4400-8000-000000000004","26763 White Fords","99669 Mendoza Gardens Suite 67",2018-12-23 03:04:05.000,2018-12-24 06:04:05.000,86.00
"3c6a7ef9-db22-4000-8000-000000000076",washington dc,washington dc,"47ae147a-e147-4000-8000-00000000000e","44444444-4444-4400-8000-000000000004","36598 Ronald Canyon Apt. 14","80196 Christopher Drive Apt. 74",2018-12-29 03:04:05.000,2018-12-29 22:04:05.000,14.00
